"primarygenre","year","AverageRating","HighestRating","LowestRated","NumberOfMovies"
"(no genres listed)","1964","89.0","Scorpio Rising","Scorpio Rising","1"
"Action","1951","85.0","Big Trees, The","Big Trees, The","1"
"Action","1952","53.5","Wages of Fear, The (Salaire de la peur, Le)","War of the Worlds, The","2"
"Action","1953","98.33333333333333","Samurai I: Musashi Miyamoto (Miyamoto Musashi)","Seven Samurai (Shichinin no samurai)","3"
"Action","1954","66.0","Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô)","Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô)","1"
"Action","1955","82.5","Dam Busters, The","To Hell and Back","2"
"Action","1956","56.666666666666664","Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima)","Throne of Blood (Kumonosu jô)","3"
"Action","1957","83.5","Enemy Below, The","Hidden Fortress, The (Kakushi-toride no san-akunin)","4"
"Action","1958","75.33333333333333","North by Northwest","Operation Petticoat","3"
"Action","1959","78.0","Time Machine, The","Alamo, The","3"
"Action","1960","84.0","Spartacus","Guns of Navarone, The","3"
"Action","1961","70.5","Comancheros, The","King Kong vs. Godzilla (Kingukongu tai Gojira)","2"
"Action","1962","71.55555555555556","Jason and the Argonauts","Dr. No","9"
"Action","1963","70.25","Godzilla vs. Mothra (Mosura tai Gojira)","Zatoichi on the Road (Zatôichi kenka-tabi) (Zatôichi 5)","4"
"Action","1964","74.6","Killers, The","Faster Pussycat! Kill! Kill!","5"
"Action","1965","79.2","Flight of the Phoenix, The","Sword of Doom, The (Dai-bosatsu tôge)","5"
"Action","1966","76.75","Wild Angels, The","Asterix and the Gauls (Astérix le Gaulois)","8"
"Action","1967","77.25","Once Upon a Time in the West (C'era una volta il West)","Destroy All Monsters (Kaijû sôshingeki)","4"
"Action","1968","67.66666666666667","Butch Cassidy and the Sundance Kid","Bullitt","3"
"Action","1969","71.0","Italian Job, The","Army of Shadows (L'armée des ombres)","3"
"Action","1970","82.0","THX 1138","Beneath the Planet of the Apes","8"
"Action","1971","82.25","Diamonds Are Forever","Omega Man, The","12"
"Action","1972","70.33333333333333","Crazies, The (a.k.a. Code Name: Trixie)","Prime Cut","12"
"Action","1973","74.9","Enter the Dragon","Four Musketeers, The","10"
"Action","1974","68.16666666666667","Gone in 60 Seconds","Breakout","12"
"Action","1975","82.8","Assault on Precinct 13","Silver Streak","5"
"Action","1976","66.0","Smokey and the Bandit","The Big Bus","7"
"Action","1977","70.78571428571429","Game of Death","Inglorious Bastards (Quel maledetto treno blindato)","14"
"Action","1978","74.5","Rocky II","Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro)","6"
"Action","1979","83.41666666666667","Apocalypse Now","Mad Max","12"
"Action","1980","76.6842105263158","Young Master, The (Shi di chu ma)","Knightriders","19"
"Action","1981","75.66666666666667","Blade Runner","For Your Eyes Only","6"
"Adventure","1951","75.0","Alice in Wonderland","Snows of Kilimanjaro, The","3"
"Adventure","1952","74.5","Crimson Pirate, The","Scaramouche","2"
"Adventure","1953","68.75","Prince Valiant","Beat the Devil","4"
"Adventure","1954","80.5","Kismet","Creature from the Black Lagoon, The","2"
"Adventure","1955","68.6","Man Who Knew Too Much, The","Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)","5"
"Adventure","1956","94.33333333333333","Around the World in 80 Days","Spirit of St. Louis, The","3"
"Adventure","1957","55.0","Old Man and the Sea, The","Bridge on the River Kwai, The","2"
"Adventure","1958","72.66666666666667","Defiant Ones, The","Darby O'Gill and the Little People","3"
"Adventure","1959","80.25","Journey to the Center of the Earth","3 Worlds of Gulliver, The","4"
"Adventure","1960","71.4","Mothra (Mosura)","Swiss Family Robinson","5"
"Adventure","1961","76.75","Voyage to the Bottom of the Sea","Hatari!","4"
"Adventure","1962","80.5","Incredible Journey, The","In Search of the Castaways","4"
"Adventure","1963","67.25","Flipper","Tom Jones","4"
"Adventure","1964","78.0","Hard Day's Night, A","Rudolph, the Red-Nosed Reindeer","4"
"Adventure","1965","59.0","Fantastic Voyage","Fantastic Voyage","1"
"Adventure","1966","74.5","What's Up, Tiger Lily?","Born Free","4"
"Adventure","1967","78.66666666666667","Yellow Submarine","Fando and Lis (Fando y Lis)","3"
"Adventure","1968","79.42857142857143","Wild Bunch, The","Easy Rider","7"
"Adventure","1969","66.0","100 Rifles","100 Rifles","1"
"Adventure","1970","67.5","Phantom Tollbooth, The","Bedknobs and Broomsticks","2"
"Adventure","1971","70.5","Walkabout","Deliverance","2"
"Adventure","1972","80.33333333333333","Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu)","Dr. Phibes Rises Again","3"
"Adventure","1973","63.0","Benji","Robin Hood","2"
"Adventure","1974","76.66666666666667","Dersu Uzala","Flesh Gordon","3"
"Adventure","1975","72.75","Seven-Per-Cent Solution, The","Man Who Would Be King, The","4"
"Adventure","1976","72.0","Close Encounters of the Third Kind","King Kong","5"
"Adventure","1977","72.375","Candleshoe","Lord of the Rings, The","8"
"Adventure","1978","76.0","Muppet Movie, The","Watership Down","4"
"Adventure","1979","68.5","Saturn 3","Bronco Billy","4"
"Adventure","1980","76.4","Time Bandits","Popeye","5"
"Adventure","1981","72.33333333333333","Quest for Fire (Guerre du feu, La)","Tarzan, the Ape Man","3"
"Animation","1952","98.0","Peter Pan","Peter Pan","1"
"Animation","1954","55.0","Lady and the Tramp","Lady and the Tramp","1"
"Animation","1959","76.0","Sleeping Beauty","Sleeping Beauty","1"
"Animation","1962","87.5","Sword in the Stone, The","Gay Purr-ee","2"
"Animation","1964","58.0","Charlie Brown Christmas, A","Incredible Mr. Limpet, The","2"
